ID_Paciente,CURP,Nombre,Apellido_Paterno,Apellido_Materno,Fecha_Nacimiento,Edad,Sexo,Estatura_m,Peso_kg,IMC,Presion_Sistolica,Presion_Diastolica,Glucosa,Colesterol,Frecuencia_Cardiaca,Diabetes,Hipertension,Fumador,Actividad_Fisica,Antecedente_Familiar,Municipio,Region,Latitud,Longitud
PUE-000076,GOJE680416MPLNMLA3,Elena Verónica,González,Jiménez,1968-04-16,58,Femenino,1.626,71.5,27.0,135,104,,,68.0,,,,,,Tlacuilotepec,,,
PUE-000077,TORA590907HPLRDLA5,Alejandro,Torres,Rodríguez,1959-09-07,66,Masculino,1.666,65.8,23.7,117,82,,,75.0,,,,,,Calpan,,,
PUE-000078,CATJ750905HPLSRRA9,Jorge,Castro,Torres,1975-09-05,50,Masculino,1.729,64.9,21.7,115,70,,,77.0,,,,,,Izúcar de Matamoros,,,
PUE-000079,MOCJ891222HPLRSRA5,Jorge Luis,Morales,Castro,1989-12-22,36,Masculino,1.6019999999999999,73.3,28.6,116,82,,,85.0,,,,,,Izúcar de Matamoros,,,
PUE-000080,MOCF820813HPLRRRA2,Fernando Luis,Morales,Cruz,1982-08-13,43,Masculino,1.755,77.0,25.0,113,70,,,73.0,,,,,,Yehualtepec,,,
PUE-000081,HERR970328HPLRYFA7,Rafael,Hernández,Reyes,1997-03-28,29,Masculino,1.595,90.5,35.6,111,85,,,96.0,,,,,,Tlatlauquitepec,,,
PUE-000082,GOGM780917MPLNÓRA6,María,González,Gómez,1978-09-17,47,Femenino,1.557,75.1,31.0,114,73,,,67.0,,,,,,Tlatlauquitepec,,,
PUE-000083,GADC880919HPLRÍRA4,Carlos Ricardo,García,Díaz,1988-09-19,37,Masculino,1.598,64.0,25.1,125,70,,,77.0,,,,,,Cuautlancingo,,,
PUE-000084,GERM900918HPLÓDGA9,Miguel,Gómez,Rodríguez,1990-09-18,35,Masculino,1.681,88.7,31.4,121,76,,,90.0,,,,,,Tepeojuma,,,
PUE-000085,HEGR830731HPLRÓFA6,Rafael,Hernández,Gómez,1983-07-31,42,Masculino,1.663,97.9,35.4,114,74,,,104.0,,,,,,Santa Clara Ocoyucan,,,
PUE-000086,CURA701101MPLRYNA9,Ana,Cruz,Reyes,1970-11-01,55,Femenino,1.579,73.9,29.6,119,75,,,96.0,,,,,,Amozoc,,,
PUE-000087,DAPR720813MPLÍÉSA1,Rosa Rosa,Díaz,Pérez,1972-08-13,53,Femenino,1.524,72.1,31.0,123,70,,,99.0,,,,,,Aljojuca,,,
PUE-000088,JIVL050729HPLMÁSA2,Luis,Jiménez,Vázquez,2005-07-29,20,Masculino,1.679,92.8,32.9,136,100,,,75.0,,,,,,Naupan,,,
PUE-000089,SEPL810909MPLÁÉTA7,Leticia Gabriela,Sánchez,Pérez,1981-09-09,44,Femenino,1.561,67.5,27.7,139,99,,,74.0,,,,,,Aljojuca,,,
PUE-000090,RESM101116MPLYÁRA8,María María,Reyes,Sánchez,2010-11-16,15,Femenino,1.5219999999999998,68.8,29.7,120,80,,,72.0,,,,,,Chiautla,,,
PUE-000091,JIMR810207HPLMRFA2,Rafael,Jiménez,Martínez,1981-02-07,45,Masculino,1.681,77.6,27.5,121,74,,,72.0,,,,,,Chiconcuautla,,,
PUE-000092,REGJ010708HPLYRNA7,Juan,Reyes,García,2001-07-08,24,Masculino,1.775,82.4,26.2,118,73,,,94.0,,,,,,San Andrés Cholula,,,
PUE-000093,GUCR650416HPLTRFA4,Rafael Miguel,Gutiérrez,Cruz,1965-04-16,61,Masculino,1.71,90.1,30.8,120,84,,,84.0,,,,,,Tecamachalco,,,
PUE-000094,GACJ241013HPLRRVA1,Javier Juan,García,Cruz,2024-10-13,1,Masculino,1.087,26.6,22.5,111,76,,,74.0,,,,,,Izúcar de Matamoros,,,
PUE-000095,CARL571129MPLSYSA6,Luisa Guadalupe,Castro,Reyes,1957-11-29,68,Femenino,1.652,57.5,21.1,149,86,,,71.0,,,,,,Tecamachalco,,,
PUE-000096,GOGJ910501HPLNRRA1,Jorge,González,García,1991-05-01,35,Masculino,1.595,82.1,32.3,110,84,,,105.0,,,,,,Tecamachalco,,,
PUE-000097,RALV880730MPLMÓRA7,Verónica Teresa,Ramírez,López,1988-07-30,37,Femenino,1.645,54.8,20.3,146,104,,,85.0,,,,,,Tecamachalco,,,
PUE-000098,REGM710911MPLYRRA2,María Patricia,Reyes,García,1971-09-11,54,Femenino,1.452,84.7,40.2,112,79,,,81.0,,,,,,Izúcar de Matamoros,,,
PUE-000099,MOSR730416MPLRÁSA9,Rosa,Morales,Sánchez,1973-04-16,53,Femenino,1.557,88.0,36.3,163,87,,,85.0,,,,,,Calpan,,,
PUE-000100,MOCJ061113HPLRSSA0,Jesús Francisco,Morales,Castro,2006-11-13,19,Masculino,1.6569999999999998,67.2,24.5,113,74,,,85.0,,,,,,Aljojuca,,,
PUE-000101,DAMM751107MPLÍRRA2,Margarita,Díaz,Martínez,1975-11-07,50,Femenino,1.432,49.2,24.0,120,83,,,69.0,,,,,,Pahuatlán,,,
PUE-000102,MOCJ460213MPLRRNA9,Juana,Morales,Cruz,1946-02-13,80,Femenino,1.45,75.3,35.8,113,70,,,65.0,,,,,,Amozoc,,,
PUE-000103,CAFR620621MPLSLSA8,Rosa,Castro,Flores,1962-06-21,64,Femenino,1.55,69.4,28.9,115,77,,,78.0,,,,,,Puebla,,,
PUE-000104,RORE580718MPLDYLA0,Elena Luisa,Rodríguez,Reyes,1958-07-18,67,Femenino,1.5119999999999998,48.3,21.1,121,74,,,71.0,,,,,,Tlachichuca,,,
PUE-000105,CAGJ780105HPLSÓVA2,Javier Alejandro,Castro,Gómez,1978-01-05,48,Masculino,1.693,66.5,23.2,124,75,,,95.0,,,,,,Yehualtepec,,,
PUE-000106,GOSG580701MPLNÁDA8,Guadalupe Patricia,González,Sánchez,1958-07-01,68,Femenino,1.5859999999999999,41.0,16.3,142,101,,,73.0,,,,,,Xiutetelco,,,
PUE-000107,CUCG720314MPLRSBA0,Gabriela,Cruz,Castro,1972-03-14,54,Femenino,1.534,59.1,25.1,123,85,,,85.0,,,,,,Xicotepec,,,
PUE-000108,LEPS701207MPLÓÉFA6,Sofia Teresa,López,Pérez,1970-12-07,55,Femenino,1.52,55.8,24.2,115,83,,,83.0,,,,,,Chalchicomula de Sesma,,,
PUE-000109,GASA700707MPLRÁNA4,Ana Elena,García,Sánchez,1970-07-07,55,Femenino,1.534,68.3,29.0,110,77,,,95.0,,,,,,Santiago Miahuatlán,,,
PUE-000110,ROJA700614MPLDMNA6,Ana Carmen,Rodríguez,Jiménez,1970-06-14,56,Femenino,1.588,83.8,33.2,115,77,,,74.0,,,,,,Huauchinango,,,
PUE-000111,LEHR000209MPLÓRSA1,Rosa Juana,López,Hernández,2000-02-09,26,Femenino,1.492,87.4,39.3,123,81,,,69.0,,,,,,Ajalpan,,,
PUE-000112,REFF730613HPLYLRA9,Francisco Alejandro,Reyes,Flores,1973-06-13,53,Masculino,1.7719999999999998,81.2,25.9,110,70,,,76.0,,,,,,San Pedro Cholula,,,
PUE-000113,TOMC850408HPLRRRA8,Carlos Juan,Torres,Martínez,1985-04-08,41,Masculino,1.671,70.6,25.3,120,85,,,97.0,,,,,,Ajalpan,,,
PUE-000114,HELJ670214HPLRÓSA2,José Miguel,Hernández,López,1967-02-14,59,Masculino,1.743,92.6,30.5,125,72,,,67.0,,,,,,San Salvador el Seco,,,
PUE-000115,CAGV730812MPLSTRA1,Verónica,Castro,Gutiérrez,1973-08-12,52,Femenino,1.47,63.9,29.6,114,77,,,69.0,,,,,,Tecamachalco,,,
PUE-000116,GOSM640218MPLNÁRA3,Margarita Gabriela,González,Sánchez,1964-02-18,62,Femenino,1.5130000000000001,70.5,30.8,110,80,,,87.0,,,,,,Tlachichuca,,,
PUE-000117,PEFL450822MPLÉLTA2,Leticia Carmen,Pérez,Flores,1945-08-22,80,Femenino,1.624,58.4,22.1,119,84,,,76.0,,,,,,Tepeojuma,,,
PUE-000118,CUTM190613MPLRRRA8,María Leticia,Cruz,Torres,2019-06-13,7,Femenino,1.217,14.4,9.7,156,104,,,71.0,,,,,,San Andrés Cholula,,,
PUE-000119,DAJL250814HPLÍMSA3,Luis Alejandro,Díaz,Jiménez,2025-08-14,0,Masculino,1.276,21.2,13.0,165,96,,,80.0,,,,,,Naupan,,,
PUE-000120,GUFC770701MPLTLRA9,Carmen Gabriela,Gutiérrez,Flores,1977-07-01,49,Femenino,1.624,66.7,25.3,120,74,,,104.0,,,,,,Cuautlancingo,,,
PUE-000121,GAHA060807MPLRRNA5,Ana Rosa,García,Hernández,2006-08-07,19,Femenino,1.5719999999999998,70.9,28.7,113,70,,,85.0,,,,,,Huaquechula,,,
PUE-000122,HECM770523HPLRRGA2,Miguel,Hernández,Cruz,1977-05-23,49,Masculino,1.651,79.5,29.2,117,79,,,78.0,,,,,,San Salvador el Seco,,,
PUE-000123,REGE430502MPLYTLA2,Elena,Reyes,Gutiérrez,1943-05-02,83,Femenino,1.631,81.1,30.5,141,101,,,79.0,,,,,,Chignautla,,,
PUE-000124,TOFM020408HPLRLGA2,Miguel Rafael,Torres,Flores,2002-04-08,24,Masculino,1.7480000000000002,70.2,23.0,125,83,,,83.0,,,,,,Tehuacán,,,
PUE-000125,CAGA671121MPLSNNA9,Ana,Castro,González,1967-11-21,58,Femenino,1.581,70.5,28.2,114,81,,,96.0,,,,,,Cuetzalan del Progreso,,,
PUE-000126,MOTS730405MPLRRFA4,Sofia Elena,Morales,Torres,1973-04-05,53,Femenino,1.518,58.2,25.3,117,76,,,90.0,,,,,,Chietla,,,
PUE-000127,GORJ641214HPLNYNA0,Juan Manuel,González,Reyes,1964-12-14,61,Masculino,1.6380000000000001,79.9,29.8,115,82,,,73.0,,,,,,Aljojuca,,,
PUE-000128,DALJ140320MPLÍÓNA1,Juana Juana,Díaz,López,2014-03-20,12,Femenino,1.557,71.0,29.3,114,83,,,74.0,,,,,,Calpan,,,
PUE-000129,CUTJ870127HPLRRSA5,José Javier,Cruz,Torres,1987-01-27,39,Masculino,1.7180000000000002,82.1,27.8,115,81,,,77.0,,,,,,Chiautla,,,
PUE-000130,RORR640501HPLDMFA2,Rafael Juan,Rodríguez,Ramírez,1964-05-01,62,Masculino,1.561,63.3,26.0,151,102,,,77.0,,,,,,Calpan,,,
PUE-000131,DART090909MPLÍYRA2,Teresa Ana,Díaz,Reyes,2009-09-09,16,Femenino,1.499,84.3,37.5,155,98,,,74.0,,,,,,Huauchinango,,,
PUE-000132,CUPJ160517HPLRÉSA4,José,Cruz,Pérez,2016-05-17,10,Masculino,0.648,21.7,51.7,117,77,,,66.0,,,,,,San Pedro Cholula,,,
PUE-000133,GODE600307MPLNÍLA2,Elena Margarita,González,Díaz,1960-03-07,66,Femenino,1.567,39.7,16.2,123,73,,,80.0,,,,,,Ocoyucan,,,
PUE-000134,MAGS820426MPLRRFA0,Sofia,Martínez,García,1982-04-26,44,Femenino,1.5730000000000002,59.8,24.2,112,80,,,65.0,,,,,,Tepeojuma,,,
PUE-000135,HEPL260419MPLRÉTA3,Leticia,Hernández,Pérez,2026-04-19,0,Femenino,1.133,41.6,32.4,158,99,,,82.0,,,,,,Chignautla,,,
PUE-000136,GURR920126HPLTYCA7,Ricardo Manuel,Gutiérrez,Reyes,1992-01-26,34,Masculino,1.689,72.2,25.3,124,75,,,84.0,,,,,,San Pedro Cholula,,,
PUE-000137,FODS880518MPLLÍFA4,Sofia,Flores,Díaz,1988-05-18,38,Femenino,1.5830000000000002,87.3,34.8,125,75,,,79.0,,,,,,Xiutetelco,,,
PUE-000138,LEGM110625HPLÓNNA4,Manuel Rafael,López,González,2011-06-25,15,Masculino,1.705,70.2,24.1,125,70,,,96.0,,,,,,Huauchinango,,,
PUE-000139,MAGR731113HPLRNCA6,Ricardo Rafael,Martínez,González,1973-11-13,52,Masculino,1.756,77.9,25.3,142,100,,,67.0,,,,,,Santa Clara Ocoyucan,,,
PUE-000140,PECJ681009HPLÉRSA8,José,Pérez,Cruz,1968-10-09,57,Masculino,1.704,63.4,21.8,115,79,,,79.0,,,,,,San Salvador el Seco,,,
PUE-000141,GAVM890315MPLRÁRA1,Margarita,García,Vázquez,1989-03-15,37,Femenino,1.595,67.9,26.7,124,74,,,81.0,,,,,,Cuetzalan del Progreso,,,
PUE-000142,RAMJ530218HPLMRNA4,Juan Ricardo,Ramírez,Morales,1953-02-18,73,Masculino,1.62,73.1,27.9,123,70,,,79.0,,,,,,Tepeojuma,,,
PUE-000143,ROVA960102HPLDÁLA8,Alejandro Jorge,Rodríguez,Vázquez,1996-01-02,30,Masculino,1.6569999999999998,64.7,23.6,110,83,,,71.0,,,,,,Santa Clara Ocoyucan,,,
