ID_Paciente,UUID,Nombre,Apellido_Paterno,Apellido_Materno,Fecha_Nacimiento,Edad,Sexo,CURP,RFC,Estado,Región_Socioeconómica,Municipio,Afiliación_Salud,Tipo_Sangre,Estatura_cm,Peso_kg,IMC,Presion_Sistolica_mmHg,Presion_Diastolica_mmHg,Frecuencia_Cardiaca_lpm,Temperatura_C,CIE10_Diagnostico,Diagnostico_Principal,Especialidad_Destino,Fecha_Ultima_Consulta,Costo_Consulta_MXN
PUE-000011,EC8DE20A,Alejandro,Rodríguez,Hernández,1986-10-03,39,Masculino,ROHA861003HPLDRLA0,ROHA861003B36,Puebla,Región VI: Izúcar de Matamoros,Izúcar de Matamoros,IMSS,A+,166.5,69.9,25.2,116,75,83,36.1,M54.5,Lumbalgia Crónica,Traumatología / Terapia Física,2026-03-20,40
PUE-000012,E2C4724B,Luis Luis,López,Ramírez,2001-09-11,24,Masculino,LERL010911HPLÓMSA9,LERL010911F67,Puebla,Región IV: San Pedro Cholula,San Martín Texmelucan,IMSS-Bienestar,O+,179.8,70.7,21.9,161,86,70,36.1,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2026-01-14,9
PUE-000013,827463FD,Jesús Fernando,Reyes,Castro,1975-04-08,51,Masculino,RECJ750408HPLYSSA9,RECJ750408C34,Puebla,Región IV: San Pedro Cholula,Calpan,IMSS,O+,169.3,66.3,23.1,117,70,98,37.8,J00,Rinofaringitis Aguda (Resfriado Común),Medicina General / Pediatría,2026-06-21,24
PUE-000014,2B701BEE,Javier,López,Díaz,1979-08-17,46,Masculino,LEDJ790817HPLÓÍVA2,LEDJ790817K16,Puebla,Región IV: San Pedro Cholula,San Martín Texmelucan,IMSS,O+,170.3,80.7,27.8,162,98,85,36.2,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2026-04-30,16
PUE-000015,15A96BF0,Rosa,Hernández,Sánchez,1936-09-30,89,Femenino,HESR360930MPLRÁSA4,HESR360930G60,Puebla,Región I: Huauchinango,Xicotepec,IMSS,O+,147.1,66.0,30.5,119,81,88,38.6,J00,Rinofaringitis Aguda (Resfriado Común),Medicina General / Pediatría,2025-09-06,29
PUE-000016,15FF1EC7,Elena Gabriela,Jiménez,Gutiérrez,1973-12-28,52,Femenino,JIGE731228MPLMTLA7,JIGE731228Q36,Puebla,Región V: Puebla,Amozoc,IMSS-Bienestar,O+,158.5,73.2,29.1,122,73,80,36.1,N39.0,Infección de Vías Urinarias,Medicina General,2026-01-28,24
PUE-000017,0B3518BD,Luisa Verónica,González,Morales,1976-08-06,49,Femenino,GOML760806MPLNRSA0,GOML760806P60,Puebla,Región I: Huauchinango,Juan Galindo,Particular,O-,161.1,76.1,29.3,111,72,83,36.5,E11,Diabetes Mellitus Tipo 2,Endocrinología / Medicina Interna,2025-11-02,771
PUE-000018,812AE055,Pedro,Vázquez,Gómez,1949-10-26,76,Masculino,VUGP491026HPLÁÓDA7,VUGP491026M45,Puebla,Región II: Teziutlán,Teziutlán,Particular,O+,168.1,81.1,28.7,114,84,76,36.3,Z00.0,Sano (Control de Rutina),Medicina General,2025-08-18,740
PUE-000019,C35F6D1B,Leticia Margarita,Morales,Martínez,1971-11-11,54,Femenino,MOML711111MPLRRTA9,MOML711111C85,Puebla,Región V: Puebla,Cuautinchán,IMSS-Bienestar,O+,150.9,74.4,32.7,120,79,91,37.9,J00,Rinofaringitis Aguda (Resfriado Común),Medicina General / Pediatría,2025-07-17,24
PUE-000020,8C42D6D5,Carmen,Cruz,Vázquez,2007-07-01,18,Femenino,CUVC070701MPLRÁRA3,CUVC070701B53,Puebla,Región III: Ciudad Serdán,Tlachichuca,IMSS,O+,168.4,48.1,17.0,159,91,66,36.5,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2025-08-29,38
PUE-000021,8A0D4E1E,Rosa Verónica,Flores,Cruz,1933-10-04,92,Femenino,FOCR331004MPLLRSA0,FOCR331004A43,Puebla,Región IV: San Pedro Cholula,Calpan,ISSSTE,A+,154.8,91.5,38.2,123,70,74,36.5,E11,Diabetes Mellitus Tipo 2,Endocrinología / Medicina Interna,2025-12-26,13
PUE-000022,39158CAB,Luis Carlos,López,Gutiérrez,1934-01-04,92,Masculino,LEGL340104HPLÓTSA1,LEGL340104O67,Puebla,Región V: Puebla,Cuautinchán,IMSS,O+,167.8,84.4,30.0,121,82,70,36.5,J45,Asma Bronquial,Neumología / Pediatría,2026-02-15,21
PUE-000023,A96DD696,Luisa,Jiménez,Pérez,1956-06-02,70,Femenino,JIPL560602MPLMÉSA9,JIPL560602443,Puebla,Región III: Ciudad Serdán,Tlachichuca,IMSS,O+,153.0,69.5,29.7,125,74,70,36.2,E11,Diabetes Mellitus Tipo 2,Endocrinología / Medicina Interna,2026-03-08,33
PUE-000024,3338E274,Patricia Luisa,Pérez,Flores,1985-10-15,40,Femenino,PEFP851015MPLÉLTA2,PEFP851015T54,Puebla,Región II: Teziutlán,Cuetzalan del Progreso,IMSS,O+,157.5,61.7,24.9,118,73,95,38.8,J00,Rinofaringitis Aguda (Resfriado Común),Medicina General / Pediatría,2026-03-29,19
PUE-000025,56188424,Gabriela Juana,Martínez,Jiménez,1975-01-26,51,Femenino,MAJG750126MPLRMBA1,MAJG750126M29,Puebla,Región IV: San Pedro Cholula,Calpan,IMSS,O+,166.1,64.4,23.3,119,73,85,36.3,E66.0,Obesidad Grado I,Nutrición / Medicina General,2025-08-15,10
PUE-000026,12C44078,Ana,Flores,Pérez,1988-12-04,37,Femenino,FOPA881204MPLLÉNA1,FOPA881204B92,Puebla,Región IV: San Pedro Cholula,San Martín Texmelucan,IMSS-Bienestar,O+,158.3,56.8,22.7,140,86,71,36.6,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2025-08-08,35
PUE-000027,5F5ED7AB,Ricardo,Ramírez,Pérez,1966-04-05,60,Masculino,RAPR660405HPLMÉCA3,RAPR660405Z58,Puebla,Región III: Ciudad Serdán,Tlachichuca,IMSS,O+,172.1,68.9,23.3,125,74,73,36.7,E11,Diabetes Mellitus Tipo 2,Endocrinología / Medicina Interna,2026-02-25,11
PUE-000028,7BA9B4E7,Patricia,Reyes,Vázquez,2000-11-20,25,Femenino,REVP001120MPLYÁTA3,REVP001120R80,Puebla,Región III: Ciudad Serdán,Esperanza,IMSS,O+,164.2,47.7,17.7,110,83,74,36.7,N39.0,Infección de Vías Urinarias,Medicina General,2026-03-30,10
PUE-000029,4510C70B,Leticia Teresa,Vázquez,Castro,1991-11-18,34,Femenino,VUCL911118MPLÁSTA1,VUCL911118T34,Puebla,Región I: Huauchinango,Chiconcuautla,IMSS-Bienestar,O+,160.0,63.0,24.6,143,87,76,36.6,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2026-05-08,16
PUE-000030,31E10663,Rosa,Ramírez,Pérez,1954-10-19,71,Femenino,RAPR541019MPLMÉSA3,RAPR541019V31,Puebla,Región II: Teziutlán,Xiutetelco,IMSS,A+,163.8,72.7,27.1,120,78,98,37.4,A09,Gastroenteritis Infecciosa,Medicina General / Pediatría,2025-07-05,34
PUE-000031,B4E62454,Jorge Pedro,García,Gómez,1992-08-05,33,Masculino,GAGJ920805HPLRÓRA7,GAGJ920805U99,Puebla,Región VII: Tehuacán,Ajalpan,No derechohabiente,O+,168.8,83.6,29.3,125,83,85,38.4,J00,Rinofaringitis Aguda (Resfriado Común),Medicina General / Pediatría,2025-11-09,601
PUE-000032,41023505,Verónica Juana,Sánchez,Gómez,2018-05-27,8,Femenino,SEGV180527MPLÁÓRA5,SEGV180527912,Puebla,Región V: Puebla,Ocoyucan,IMSS-Bienestar,B+,150.0,12.6,5.6,112,70,66,36.5,N39.0,Infección de Vías Urinarias,Medicina General,2026-06-14,4
PUE-000033,F57FEC46,Francisco,Martínez,Castro,2016-06-30,9,Masculino,MACF160630HPLRSRA4,MACF160630H31,Puebla,Región V: Puebla,Puebla,No derechohabiente,O+,109.2,5.5,4.6,110,72,67,36.5,F41.1,Ansiedad Generalizada,Psicología / Psiquiatría,2025-09-18,717
PUE-000034,73B3A20A,Luisa María,Gutiérrez,Flores,1996-07-18,29,Femenino,GUFL960718MPLTLSA4,GUFL960718K81,Puebla,Región I: Huauchinango,Pahuatlán,ISSSTE,O+,146.3,66.1,30.9,121,75,85,38.2,J00,Rinofaringitis Aguda (Resfriado Común),Medicina General / Pediatría,2026-06-18,24
PUE-000035,C199B4FF,Carlos,Hernández,Pérez,1953-11-04,72,Masculino,HEPC531104HPLRÉRA3,HEPC531104815,Puebla,Región V: Puebla,Cuautinchán,No derechohabiente,O+,166.0,88.6,32.2,121,85,97,38.7,A09,Gastroenteritis Infecciosa,Medicina General / Pediatría,2025-08-03,351
PUE-000036,356C1540,Carmen Juana,García,Hernández,1974-08-12,51,Femenino,GAHC740812MPLRRRA5,GAHC740812264,Puebla,Región VI: Izúcar de Matamoros,Tepeojuma,IMSS,O+,158.3,64.6,25.8,140,97,81,36.1,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2026-02-08,40
PUE-000037,4DAAFC01,Margarita Gabriela,López,Vázquez,1965-05-22,61,Femenino,LEVM650522MPLÓÁRA1,LEVM650522R83,Puebla,Región II: Teziutlán,Zacapoaxtla,ISSSTE,O+,156.2,74.0,30.3,150,88,74,36.8,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2026-05-04,9
PUE-000038,0E0D4BFC,José Fernando,Morales,Reyes,2013-09-30,12,Masculino,MORJ130930HPLRYSA1,MORJ130930435,Puebla,Región IV: San Pedro Cholula,Calpan,Particular,B+,165.2,58.4,21.4,116,82,84,36.9,N39.0,Infección de Vías Urinarias,Medicina General,2025-07-22,779
PUE-000039,39210246,Leticia Juana,Hernández,Castro,2011-01-28,15,Femenino,HECL110128MPLRSTA3,HECL110128T35,Puebla,Región III: Ciudad Serdán,Aljojuca,IMSS-Bienestar,O+,160.8,59.2,22.9,115,71,80,36.4,E66.0,Obesidad Grado I,Nutrición / Medicina General,2026-01-08,21
PUE-000040,8EDB955A,Rafael,Gutiérrez,Reyes,1999-09-15,26,Masculino,GURR990915HPLTYFA8,GURR990915713,Puebla,Región VII: Tehuacán,Coxcatlán,ISSSTE,A-,167.8,80.4,28.6,118,79,89,39.2,A09,Gastroenteritis Infecciosa,Medicina General / Pediatría,2026-04-29,23
PUE-000041,A7036011,Miguel,Díaz,Hernández,2014-01-16,12,Masculino,DAHM140116HPLÍRGA4,DAHM140116376,Puebla,Región VII: Tehuacán,Tecamachalco,Particular,O+,155.9,86.3,35.5,111,70,84,36.4,E11,Diabetes Mellitus Tipo 2,Endocrinología / Medicina Interna,2025-11-21,878
PUE-000042,F2357363,Patricia Teresa,Rodríguez,Jiménez,1981-04-01,45,Femenino,ROJP810401MPLDMTA1,ROJP810401O34,Puebla,Región II: Teziutlán,Tlatlauquitepec,Particular,A+,146.0,50.5,23.7,118,74,75,36.5,E11,Diabetes Mellitus Tipo 2,Endocrinología / Medicina Interna,2026-04-16,403
PUE-000043,68729D5A,Sofia,Castro,Gutiérrez,1987-03-10,39,Femenino,CAGS870310MPLSTFA9,CAGS870310F89,Puebla,Región II: Teziutlán,Zacapoaxtla,IMSS-Bienestar,O+,168.6,61.0,21.5,153,86,74,36.2,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2025-08-15,38
PUE-000044,FB68A7B1,Fernando,Díaz,Castro,2026-01-15,0,Masculino,DACF260115HPLÍSRA3,DACF260115E82,Puebla,Región III: Ciudad Serdán,Esperanza,IMSS,O+,94.4,6.2,7.0,112,72,85,37.5,J00,Rinofaringitis Aguda (Resfriado Común),Medicina General / Pediatría,2026-06-08,33
PUE-000045,A85AA44D,Rosa Teresa,Gómez,Sánchez,1972-05-24,54,Femenino,GESR720524MPLÓÁSA2,GESR720524U45,Puebla,Región VII: Tehuacán,Ajalpan,IMSS,O-,152.1,57.3,24.8,120,73,69,36.4,N39.0,Infección de Vías Urinarias,Medicina General,2026-01-17,5
PUE-000046,22CAED70,Ana,Castro,Reyes,1974-11-20,51,Femenino,CARA741120MPLSYNA5,CARA741120O22,Puebla,Región V: Puebla,Santa Clara Ocoyucan,IMSS,B-,157.5,59.3,23.9,119,82,69,36.1,N39.0,Infección de Vías Urinarias,Medicina General,2025-09-03,31
PUE-000047,DED3BF2D,Miguel,López,Jiménez,1954-01-20,72,Masculino,LEJM540120HPLÓMGA2,LEJM540120R51,Puebla,Región I: Huauchinango,Huauchinango,IMSS,A+,165.4,73.1,26.7,113,76,70,36.7,E66.0,Obesidad Grado I,Nutrición / Medicina General,2026-02-22,39
PUE-000048,BCD486A7,Guadalupe,Sánchez,Hernández,1948-06-01,78,Femenino,SEHG480601MPLÁRDA7,SEHG480601U41,Puebla,Región VII: Tehuacán,Yehualtepec,IMSS-Bienestar,O+,163.8,62.3,23.2,121,82,75,36.3,E11,Diabetes Mellitus Tipo 2,Endocrinología / Medicina Interna,2025-11-07,25
PUE-000049,1B59CD1C,José Juan,Pérez,García,1992-02-14,34,Masculino,PEGJ920214HPLÉRSA6,PEGJ920214169,Puebla,Región IV: San Pedro Cholula,Calpan,ISSSTEP,A+,173.5,93.6,31.1,110,74,104,38.6,A09,Gastroenteritis Infecciosa,Medicina General / Pediatría,2026-06-19,23
PUE-000050,8DA0091C,Luisa Carmen,Reyes,Castro,1952-07-25,73,Femenino,RECL520725MPLYSSA8,RECL520725E66,Puebla,Región VI: Izúcar de Matamoros,Izúcar de Matamoros,IMSS,O+,154.9,56.1,23.4,123,73,70,36.4,E66.0,Obesidad Grado I,Nutrición / Medicina General,2026-02-15,37
PUE-000051,40913833,Sofia,Cruz,García,1956-04-23,70,Femenino,CUGS560423MPLRRFA1,CUGS560423J20,Puebla,Región IV: San Pedro Cholula,San Pedro Cholula,IMSS,O+,157.0,58.7,23.8,150,97,72,36.9,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2026-05-22,17
PUE-000052,B426B309,Carmen Guadalupe,Flores,Gutiérrez,2006-03-12,20,Femenino,FOGC060312MPLLTRA5,FOGC060312128,Puebla,Región VI: Izúcar de Matamoros,Huaquechula,ISSSTE,O+,153.4,77.5,32.9,110,80,65,36.8,E66.0,Obesidad Grado I,Nutrición / Medicina General,2026-06-07,4
PUE-000053,AE4931D8,Carmen,Martínez,Pérez,1986-02-24,40,Femenino,MAPC860224MPLRÉRA2,MAPC860224794,Puebla,Región V: Puebla,Santa Clara Ocoyucan,Particular,A+,147.4,67.4,31.0,115,80,69,36.5,N39.0,Infección de Vías Urinarias,Medicina General,2026-06-19,561
PUE-000054,D6E028F0,Ricardo,González,Castro,1988-06-21,38,Masculino,GOCR880621HPLNSCA9,GOCR880621788,Puebla,Región V: Puebla,Santa Clara Ocoyucan,IMSS,A+,164.7,74.1,27.3,161,99,77,36.7,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2025-07-03,16
PUE-000055,CD1235E4,Pedro,López,Pérez,1998-06-11,28,Masculino,LEPP980611HPLÓÉDA9,LEPP980611B53,Puebla,Región VII: Tehuacán,Ajalpan,IMSS,A+,157.3,84.3,34.1,118,80,68,36.7,Z00.0,Sano (Control de Rutina),Medicina General,2025-12-29,39
PUE-000056,AA22C93D,Fernando,Morales,Díaz,1989-03-28,37,Masculino,MODF890328HPLRÍRA2,MODF890328A64,Puebla,Región I: Huauchinango,Tlacuilotepec,IMSS,O+,162.5,66.4,25.1,159,86,81,36.7,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2025-08-03,28
PUE-000057,D56FF1E2,Francisco Jesús,Gómez,Hernández,1983-02-20,43,Masculino,GEHF830220HPLÓRRA3,GEHF830220N72,Puebla,Región VI: Izúcar de Matamoros,Tepeojuma,IMSS-Bienestar,O+,176.8,87.7,28.1,113,84,103,38.6,J00,Rinofaringitis Aguda (Resfriado Común),Medicina General / Pediatría,2025-08-10,18
PUE-000058,9CE32089,Margarita Gabriela,Martínez,Castro,1966-06-29,60,Femenino,MACM660629MPLRSRA3,MACM660629Z42,Puebla,Región III: Ciudad Serdán,Chalchicomula de Sesma,IMSS,O+,161.3,56.4,21.7,123,83,88,38.8,J00,Rinofaringitis Aguda (Resfriado Común),Medicina General / Pediatría,2025-08-09,5
PUE-000059,0EC3A804,Patricia,Flores,García,1942-06-10,84,Femenino,FOGP420610MPLLRTA1,FOGP420610527,Puebla,Región V: Puebla,Ocoyucan,IMSS-Bienestar,AB-,150.0,76.8,34.1,118,70,74,36.7,E11,Diabetes Mellitus Tipo 2,Endocrinología / Medicina Interna,2025-09-07,29
PUE-000060,B7400F53,Luis,Cruz,Vázquez,1977-02-09,49,Masculino,CUVL770209HPLRÁSA6,CUVL770209A70,Puebla,Región VI: Izúcar de Matamoros,Tepeojuma,IMSS-Bienestar,B+,172.1,67.0,22.6,125,84,69,36.8,E11,Diabetes Mellitus Tipo 2,Endocrinología / Medicina Interna,2025-11-07,22
PUE-000061,EF4C8B6C,Pedro,Vázquez,Castro,1958-07-01,68,Masculino,VUCP580701HPLÁSDA3,VUCP580701232,Puebla,Región VI: Izúcar de Matamoros,Atlixco,IMSS-Bienestar,O+,170.4,89.0,30.7,116,85,87,39.0,A09,Gastroenteritis Infecciosa,Medicina General / Pediatría,2026-04-27,16
PUE-000062,3C88B462,Margarita Sofia,Jiménez,Cruz,1958-12-27,67,Femenino,JICM581227MPLMRRA9,JICM581227587,Puebla,Región V: Puebla,Ocoyucan,IMSS,A+,159.8,61.6,24.1,125,70,78,36.7,M54.5,Lumbalgia Crónica,Traumatología / Terapia Física,2025-11-04,39
PUE-000063,263FB1E2,Juana Gabriela,Vázquez,González,1966-12-14,59,Femenino,VUGJ661214MPLÁNNA2,VUGJ661214638,Puebla,Región VII: Tehuacán,Santiago Miahuatlán,IMSS,A+,149.5,68.1,30.5,149,105,83,36.6,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2026-02-07,9
PUE-000064,69F79325,Patricia Verónica,Reyes,Flores,1969-11-13,56,Femenino,REFP691113MPLYLTA9,REFP691113G16,Puebla,Región III: Ciudad Serdán,Esperanza,IMSS-Bienestar,O+,155.3,74.2,30.8,118,78,71,36.5,E11,Diabetes Mellitus Tipo 2,Endocrinología / Medicina Interna,2026-05-08,34
PUE-000065,074C59C8,Carmen,Rodríguez,Gómez,1962-09-29,63,Femenino,ROGC620929MPLDÓRA3,ROGC620929I72,Puebla,Región I: Huauchinango,Naupan,IMSS,O+,149.2,45.4,20.4,156,105,83,36.4,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2025-07-27,1
PUE-000066,342A5C8A,Manuel,Morales,López,2001-06-27,25,Masculino,MOLM010627HPLRÓNA4,MOLM010627Y56,Puebla,Región V: Puebla,Amozoc,ISSSTE,O-,169.7,66.2,23.0,113,70,66,36.7,E66.0,Obesidad Grado I,Nutrición / Medicina General,2025-11-04,1
PUE-000067,F6AFD707,Leticia Juana,Vázquez,González,1975-12-17,50,Femenino,VUGL751217MPLÁNTA7,VUGL751217E61,Puebla,Región II: Teziutlán,Cuetzalan del Progreso,IMSS-Bienestar,O+,161.6,70.3,26.9,115,71,67,36.5,N39.0,Infección de Vías Urinarias,Medicina General,2025-12-18,1
PUE-000068,18B2D1B7,Rosa Luisa,Ramírez,Martínez,1963-01-20,63,Femenino,RAMR630120MPLMRSA6,RAMR630120B10,Puebla,Región VI: Izúcar de Matamoros,Tepeojuma,IMSS,O+,161.1,66.2,25.5,118,79,100,38.7,J00,Rinofaringitis Aguda (Resfriado Común),Medicina General / Pediatría,2025-10-08,16
PUE-000069,EC8DBC76,Margarita Gabriela,González,Martínez,1934-03-27,92,Femenino,GOMM340327MPLNRRA1,GOMM340327213,Puebla,Región V: Puebla,Ocoyucan,IMSS,A+,161.1,77.1,29.7,123,82,72,36.1,E11,Diabetes Mellitus Tipo 2,Endocrinología / Medicina Interna,2026-01-22,18
PUE-000070,F947273E,Manuel Jesús,González,Morales,1989-09-08,36,Masculino,GOMM890908HPLNRNA6,GOMM890908A88,Puebla,Región III: Ciudad Serdán,Aljojuca,IMSS-Bienestar,O+,159.0,60.1,23.8,110,79,72,36.2,N39.0,Infección de Vías Urinarias,Medicina General,2025-09-06,25
PUE-000071,FD9DAF94,Jesús,Sánchez,Flores,1984-04-20,42,Masculino,SEFJ840420HPLÁLSA3,SEFJ840420871,Puebla,Región VII: Tehuacán,Santiago Miahuatlán,IMSS-Bienestar,O+,170.9,67.9,23.2,143,96,71,36.4,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2026-03-22,34
PUE-000072,4C62A1A7,María Luisa,Castro,García,1984-09-18,41,Femenino,CAGM840918MPLSRRA1,CAGM840918F73,Puebla,Región IV: San Pedro Cholula,Cuautlancingo,ISSSTE,O+,160.3,71.5,27.8,148,90,72,36.6,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2026-03-02,15
PUE-000073,40253CC4,Carlos Luis,García,Morales,2026-02-19,0,Masculino,GAMC260219HPLRRRA6,GAMC260219021,Puebla,Región III: Ciudad Serdán,Chalchicomula de Sesma,No derechohabiente,O+,96.2,33.8,36.5,116,78,97,39.0,A09,Gastroenteritis Infecciosa,Medicina General / Pediatría,2025-11-01,520
PUE-000074,4A573C04,Luisa,Morales,Hernández,1960-12-23,65,Femenino,MOHL601223MPLRRSA5,MOHL601223U51,Puebla,Región I: Huauchinango,Naupan,IMSS,O+,154.5,65.4,27.4,116,73,96,38.0,J00,Rinofaringitis Aguda (Resfriado Común),Medicina General / Pediatría,2026-01-11,23
PUE-000075,A9218224,Elena Luisa,Gómez,Pérez,1941-01-29,85,Femenino,GEPE410129MPLÓÉLA5,GEPE410129M11,Puebla,Región III: Ciudad Serdán,Tlachichuca,ISSSTE,O+,148.4,64.1,29.1,164,93,76,36.9,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2026-05-12,37
PUE-000076,D7B3C864,Elena Verónica,González,Jiménez,1968-04-16,58,Femenino,GOJE680416MPLNMLA3,GOJE680416U41,Puebla,Región I: Huauchinango,Tlacuilotepec,ISSSTEP,AB-,162.6,71.5,27.0,135,104,68,36.2,I10,Hipertensión Arterial Esencial,Cardiología / Medicina Interna,2026-06-01,14
PUE-000077,68C3BAC9,Alejandro,Torres,Rodríguez,1959-09-07,66,Masculino,TORA590907HPLRDLA5,TORA590907429,Puebla,Región IV: San Pedro Cholula,Calpan,ISSSTE,A+,166.6,65.8,23.7,117,82,75,36.1,E66.0,Obesidad Grado I,Nutrición / Medicina General,2025-10-01,35
PUE-000078,31BB2247,Jorge,Castro,Torres,1975-09-05,50,Masculino,CATJ750905HPLSRRA9,CATJ750905O21,Puebla,Región VI: Izúcar de Matamoros,Izúcar de Matamoros,IMSS,O+,172.9,64.9,21.7,115,70,77,36.3,E11,Diabetes Mellitus Tipo 2,Endocrinología / Medicina Interna,2026-03-09,21
PUE-000079,A1FD034B,Jorge Luis,Morales,Castro,1989-12-22,36,Masculino,MOCJ891222HPLRSRA5,MOCJ891222G84,Puebla,Región VI: Izúcar de Matamoros,Izúcar de Matamoros,ISSSTE,O+,160.2,73.3,28.6,116,82,85,36.3,E66.0,Obesidad Grado I,Nutrición / Medicina General,2025-06-23,27
PUE-000080,DDF0AA62,Fernando Luis,Morales,Cruz,1982-08-13,43,Masculino,MOCF820813HPLRRRA2,MOCF820813G92,Puebla,Región VII: Tehuacán,Yehualtepec,ISSSTEP,O+,175.5,77.0,25.0,113,70,73,36.2,E11,Diabetes Mellitus Tipo 2,Endocrinología / Medicina Interna,2026-05-07,14
PUE-000081,0934F011,Rafael,Hernández,Reyes,1997-03-28,29,Masculino,HERR970328HPLRYFA7,HERR970328J64,Puebla,Región II: Teziutlán,Tlatlauquitepec,Particular,O+,159.5,90.5,35.6,111,85,96,38.8,A09,Gastroenteritis Infecciosa,Medicina General / Pediatría,2025-11-20,598
